fund_id,as_of_month,nav_per_unit
3,2024-12-01,113.87
3,2025-01-01,111.84
3,2025-02-01,116.07
3,2025-03-01,114.68
3,2025-04-01,119.71
3,2025-05-01,124.32
3,2025-06-01,123.57
4,2022-10-01,104.3
4,2022-11-01,102.5
4,2022-12-01,99.6
4,2023-01-01,99.74
4,2023-02-01,100.12
4,2023-03-01,100.91
4,2023-04-01,100.69
4,2023-05-01,100.82
4,2023-06-01,98.37
4,2023-07-01,101.14
4,2023-08-01,100.39
4,2023-09-01,104.79
4,2023-10-01,107.52
4,2023-11-01,109.01
4,2023-12-01,106.59
4,2024-01-01,106.15
4,2024-02-01,109.69
4,2024-03-01,114.0
4,2024-04-01,111.07
4,2024-05-01,116.04
4,2024-06-01,115.38
4,2024-07-01,117.96
4,2024-08-01,119.87
4,2024-09-01,120.51
4,2024-10-01,121.55
4,2024-11-01,126.63
4,2024-12-01,124.96
4,2025-01-01,129.25
4,2025-02-01,127.4
4,2025-03-01,130.22
4,2025-04-01,130.09
4,2025-05-01,135.1
4,2025-06-01,132.15
5,2023-03-01,103.28
5,2023-04-01,107.27
5,2023-05-01,107.28
5,2023-06-01,112.5
5,2023-07-01,115.24
5,2023-08-01,113.33
5,2023-09-01,110.44
5,2023-10-01,110.27
5,2023-11-01,111.14
5,2023-12-01,116.21
5,2024-01-01,113.81
5,2024-02-01,115.09
5,2024-03-01,114.75
5,2024-04-01,115.29
5,2024-05-01,113.2
5,2024-06-01,116.35
5,2024-07-01,115.14
5,2024-08-01,112.78
5,2024-09-01,112.98
5,2024-10-01,112.33
5,2024-11-01,114.32
5,2024-12-01,112.47
5,2025-01-01,115.8
5,2025-02-01,119.51
5,2025-03-01,125.4
5,2025-04-01,128.37
5,2025-05-01,125.44
5,2025-06-01,126.33
6,2023-02-01,103.55
6,2023-03-01,103.61
6,2023-04-01,105.74
6,2023-05-01,106.33
6,2023-06-01,103.24
6,2023-07-01,101.11
6,2023-08-01,99.06
6,2023-09-01,101.17
6,2023-10-01,105.49
6,2023-11-01,104.22
6,2023-12-01,105.99
6,2024-01-01,111.18
6,2024-02-01,112.11
6,2024-03-01,114.97
6,2024-04-01,112.39
6,2024-05-01,114.35
6,2024-06-01,114.43
6,2024-07-01,120.15
6,2024-08-01,123.3
6,2024-09-01,122.54
6,2024-10-01,120.09
6,2024-11-01,119.61
6,2024-12-01,122.85
6,2025-01-01,127.64
6,2025-02-01,129.3
6,2025-03-01,129.61
6,2025-04-01,132.99
6,2025-05-01,133.19
6,2025-06-01,137.9
7,2022-10-01,103.27
7,2022-11-01,100.7
7,2022-12-01,102.02
7,2023-01-01,104.28
7,2023-02-01,102.88
7,2023-03-01,100.76
7,2023-05-01,103.94
7,2023-06-01,101.15
7,2023-08-01,102.42
7,2023-10-01,99.43
7,2023-11-01,97.81
7,2024-01-01,97.4
7,2024-02-01,101.53
7,2024-04-01,103.77
7,2024-05-01,108.22
7,2024-06-01,110.22
7,2024-07-01,112.98
7,2024-09-01,107.94
7,2024-11-01,108.07
7,2024-12-01,107.23
7,2025-01-01,107.63
7,2025-02-01,106.65
7,2025-03-01,104.84
7,2025-04-01,109.62
7,2025-06-01,113.01
8,2022-01-01,99.16
8,2022-02-01,101.21
8,2022-03-01,103.4
8,2022-04-01,106.21
8,2022-05-01,107.81
8,2022-06-01,110.16
8,2022-07-01,111.36
8,2022-08-01,109.48
8,2022-09-01,113.39
8,2022-10-01,112.86
8,2022-11-01,116.59
8,2022-12-01,116.63
8,2023-01-01,122.13
8,2023-02-01,120.88
8,2023-03-01,119.87
8,2023-04-01,121.37
8,2023-05-01,124.37
8,2023-06-01,124.69
8,2023-07-01,124.23
8,2023-08-01,121.39
8,2023-09-01,126.58
8,2023-10-01,130.66
8,2023-11-01,128.27
8,2023-12-01,132.61
8,2024-01-01,131.53
8,2024-02-01,128.61
8,2024-03-01,134.83
8,2024-04-01,133.18
8,2024-05-01,139.33
8,2024-06-01,143.87
8,2024-07-01,140.98
8,2024-08-01,142.69
8,2024-09-01,148.4
8,2024-10-01,150.94
8,2024-11-01,156.15
8,2024-12-01,152.66
8,2025-01-01,152.34
8,2025-02-01,154.74
8,2025-03-01,153.59
8,2025-04-01,152.31
8,2025-05-01,148.95
8,2025-06-01,145.05
9,2021-08-01,99.54
9,2021-09-01,102.54
9,2021-10-01,100.95
9,2021-11-01,104.43
9,2021-12-01,106.96
9,2022-01-01,110.5
9,2022-02-01,112.06
9,2022-03-01,116.61
9,2022-04-01,116.87
9,2022-05-01,118.9
9,2022-06-01,117.8
9,2022-07-01,120.74
9,2022-08-01,124.01
9,2022-09-01,126.81
9,2022-10-01,124.45
9,2022-11-01,126.37
9,2022-12-01,125.28
9,2023-01-01,130.73
9,2023-02-01,133.49
9,2023-03-01,133.44
9,2023-04-01,137.74
9,2023-05-01,141.08
9,2023-06-01,141.57
9,2023-07-01,142.51
9,2023-08-01,143.24
9,2023-09-01,143.0
9,2023-10-01,144.07
9,2023-11-01,143.05
9,2023-12-01,149.66
9,2024-01-01,151.4
9,2024-02-01,155.56
9,2024-03-01,162.39
9,2024-04-01,160.49
9,2024-05-01,163.84
9,2024-06-01,160.06
9,2024-07-01,159.17
9,2024-08-01,164.21
9,2024-09-01,170.39
9,2024-10-01,173.93
9,2024-11-01,169.78
9,2024-12-01,167.95
9,2025-01-01,164.17
9,2025-02-01,166.8
9,2025-03-01,162.92
9,2025-04-01,161.76
9,2025-05-01,168.94
9,2025-06-01,174.8
10,2021-06-01,97.09
10,2021-07-01,101.54
10,2021-08-01,103.99
10,2021-09-01,108.63
10,2021-10-01,106.56
10,2021-11-01,107.61
10,2021-12-01,110.28
10,2022-01-01,112.94
10,2022-02-01,114.36
10,2022-03-01,112.07
10,2022-04-01,108.83
10,2022-05-01,107.22
10,2022-06-01,111.13
10,2022-07-01,107.86
10,2022-08-01,108.29
10,2022-09-01,109.67
10,2022-10-01,109.41
10,2022-11-01,114.83
10,2022-12-01,117.46
10,2023-01-01,122.59
10,2023-02-01,128.71
10,2023-03-01,134.58
10,2023-04-01,137.91
10,2023-05-01,134.24
10,2023-06-01,135.03
10,2023-07-01,132.8
10,2023-08-01,138.7
10,2023-09-01,143.01
10,2023-10-01,149.06
10,2023-11-01,146.67
10,2023-12-01,146.58
10,2024-01-01,143.75
10,2024-02-01,143.5
10,2024-03-01,139.78
10,2024-04-01,141.13
10,2024-05-01,138.82
10,2024-06-01,145.42
10,2024-07-01,144.99
10,2024-08-01,148.52
10,2024-09-01,153.95
10,2024-10-01,159.81
10,2024-11-01,165.98
10,2024-12-01,164.85
10,2025-01-01,166.28
10,2025-02-01,164.81
10,2025-03-01,159.9
10,2025-04-01,163.18
10,2025-05-01,163.42
10,2025-06-01,170.59
11,2023-06-01,104.43
11,2023-07-01,109.31
11,2023-08-01,110.54
11,2023-09-01,115.12
11,2023-10-01,120.28
11,2023-11-01,125.26
11,2023-12-01,130.0
11,2024-01-01,126.7
11,2024-02-01,122.96
11,2024-03-01,123.8
11,2024-04-01,123.04
11,2024-05-01,120.4
11,2024-06-01,120.16
11,2024-07-01,123.5
11,2024-08-01,123.77
11,2024-09-01,120.14
11,2024-10-01,120.68
11,2024-11-01,118.97
11,2024-12-01,120.44
11,2025-01-01,125.48
11,2025-02-01,125.84
11,2025-03-01,131.26
11,2025-04-01,127.39
11,2025-05-01,131.41
11,2025-06-01,130.1
12,2023-06-01,100.77
12,2023-07-01,100.76
12,2023-08-01,100.68
12,2023-09-01,104.85
12,2023-10-01,106.2
12,2023-11-01,105.3
12,2023-12-01,110.48
12,2024-01-01,112.97
12,2024-02-01,113.55
12,2024-03-01,111.41
12,2024-04-01,114.73
12,2024-05-01,111.34
12,2024-06-01,115.87
12,2024-07-01,118.97
12,2024-08-01,116.45
12,2024-09-01,115.61
12,2024-10-01,113.38
12,2024-11-01,113.8
12,2024-12-01,113.4
12,2025-01-01,110.28
12,2025-02-01,112.85
12,2025-03-01,118.03
12,2025-04-01,123.55
12,2025-05-01,129.56
12,2025-06-01,126.9
13,2022-04-01,100.91
13,2022-05-01,101.88
13,2022-06-01,104.38
13,2022-07-01,102.31
13,2022-08-01,105.39
13,2022-09-01,108.81
13,2022-10-01,109.03
13,2022-11-01,112.09
13,2022-12-01,115.38
13,2023-01-01,119.54
13,2023-02-01,117.21
13,2023-03-01,122.67
13,2023-04-01,126.77
13,2023-05-01,124.25
13,2023-06-01,123.94
13,2023-07-01,120.36
13,2023-08-01,123.34
13,2023-09-01,120.15
13,2023-10-01,124.52
13,2023-11-01,125.06
13,2023-12-01,127.28
13,2024-01-01,123.54
13,2024-02-01,124.58
13,2024-03-01,123.66
13,2024-04-01,120.77
13,2024-05-01,121.29
13,2024-06-01,123.64
13,2024-07-01,127.14
13,2024-08-01,125.23
13,2024-09-01,124.29
13,2024-10-01,121.7
13,2024-11-01,120.61
13,2024-12-01,123.76
13,2025-01-01,126.64
13,2025-02-01,127.19
13,2025-03-01,128.2
13,2025-04-01,132.38
13,2025-05-01,129.5
13,2025-06-01,133.18
14,2022-02-01,101.89
14,2022-03-01,100.37
14,2022-04-01,104.22
14,2022-05-01,106.34
14,2022-06-01,104.42
14,2022-07-01,102.29
14,2022-08-01,102.51
14,2022-09-01,101.68
14,2022-10-01,100.19
14,2022-11-01,98.36
14,2022-12-01,95.55
14,2023-01-01,94.21
14,2023-02-01,97.9
14,2023-03-01,97.94
14,2023-04-01,99.12
14,2023-05-01,101.7
14,2023-06-01,106.62
14,2023-07-01,105.31
14,2023-08-01,105.74
14,2023-09-01,103.09
14,2023-10-01,103.52
14,2023-11-01,100.84
14,2023-12-01,98.7
14,2024-01-01,98.61
14,2024-02-01,103.09
14,2024-03-01,105.87
14,2024-04-01,104.79
14,2024-05-01,109.15
14,2024-06-01,107.46
14,2024-07-01,104.24
14,2024-08-01,106.62
14,2024-09-01,106.16
14,2024-10-01,105.4
14,2024-11-01,104.6
14,2024-12-01,106.54
14,2025-01-01,107.02
14,2025-02-01,105.97
14,2025-03-01,106.96
14,2025-04-01,106.61
14,2025-05-01,104.36
14,2025-06-01,106.81
15,2021-11-01,102.46
15,2021-12-01,105.7
15,2022-01-01,103.63
15,2022-02-01,103.51
15,2022-03-01,107.11
15,2022-04-01,110.26
15,2022-05-01,112.15
15,2022-06-01,114.21
15,2022-07-01,112.96
15,2022-08-01,112.06
15,2022-09-01,113.94
15,2022-10-01,111.32
15,2022-11-01,108.93
15,2022-12-01,111.15
15,2023-01-01,113.17
15,2023-02-01,110.15
15,2023-03-01,115.38
15,2023-04-01,120.08
15,2023-05-01,124.33
15,2023-06-01,122.52
15,2023-07-01,123.21
15,2023-08-01,120.49
15,2023-09-01,125.95
15,2023-10-01,128.41
15,2023-11-01,127.65
15,2023-12-01,128.66
15,2024-01-01,132.63
15,2024-02-01,134.31
15,2024-03-01,131.93
15,2024-04-01,129.32
15,2024-05-01,129.77
15,2024-06-01,133.26
15,2024-07-01,138.77
15,2024-08-01,143.04
15,2024-09-01,148.43
15,2024-10-01,150.63
15,2024-11-01,150.3
15,2024-12-01,150.19
15,2025-01-01,153.25
15,2025-02-01,150.09
15,2025-03-01,150.82
15,2025-04-01,152.12
15,2025-05-01,153.93
15,2025-06-01,161.04
16,2023-01-01,103.33
16,2023-02-01,101.61
16,2023-03-01,100.79
16,2023-04-01,105.57
16,2023-05-01,104.85
16,2023-06-01,109.72
16,2023-07-01,106.96
16,2023-08-01,112.07
16,2023-09-01,110.41
16,2023-10-01,114.29
16,2023-11-01,115.39
16,2023-12-01,116.84
16,2024-01-01,118.13
16,2024-02-01,115.29
16,2024-03-01,115.87
16,2024-04-01,117.11
16,2024-05-01,118.87
16,2024-06-01,119.01
16,2024-07-01,121.22
16,2024-08-01,119.59
16,2024-09-01,116.04
16,2024-10-01,117.87
16,2024-11-01,119.92
16,2024-12-01,116.41
16,2025-01-01,121.57
16,2025-02-01,122.91
16,2025-03-01,124.18
16,2025-04-01,127.61
16,2025-05-01,126.42
16,2025-06-01,131.25
17,2021-03-01,99.37
17,2021-04-01,98.52
17,2021-05-01,96.5
17,2021-06-01,95.33
17,2021-07-01,96.54
17,2021-08-01,95.9
17,2021-09-01,97.93
17,2021-10-01,102.37
17,2021-11-01,101.57
17,2021-12-01,99.6
17,2022-01-01,103.57
17,2022-02-01,100.89
17,2022-03-01,105.77
17,2022-04-01,110.97
17,2022-05-01,109.5
17,2022-06-01,107.23
17,2022-07-01,109.58
17,2022-08-01,111.84
17,2022-09-01,117.18
17,2022-10-01,116.71
17,2022-11-01,122.05
17,2022-12-01,127.02
17,2023-01-01,125.89
17,2023-02-01,123.46
17,2023-03-01,128.63
17,2023-04-01,127.81
17,2023-05-01,134.05
17,2023-06-01,136.74
17,2023-07-01,132.75
17,2023-08-01,132.54
17,2023-09-01,136.31
17,2023-10-01,135.27
17,2023-11-01,133.98
17,2023-12-01,130.13
17,2024-01-01,133.07
17,2024-02-01,138.32
17,2024-03-01,144.56
17,2024-04-01,146.97
17,2024-05-01,151.06
17,2024-06-01,154.84
17,2024-07-01,161.91
17,2024-08-01,160.39
17,2024-09-01,163.61
17,2024-10-01,166.61
17,2024-11-01,164.36
17,2024-12-01,165.24
17,2025-01-01,164.57
17,2025-02-01,162.32
17,2025-03-01,165.63
17,2025-04-01,172.03
17,2025-05-01,172.31
17,2025-06-01,173.29
18,2023-04-01,102.84
18,2023-05-01,103.32
18,2023-06-01,101.45
18,2023-07-01,102.29
18,2023-08-01,103.28
18,2023-09-01,103.98
18,2023-10-01,107.65
18,2023-11-01,105.94
18,2023-12-01,107.59
18,2024-01-01,112.48
18,2024-02-01,110.73
18,2024-03-01,109.91
18,2024-04-01,109.34
18,2024-05-01,113.8
18,2024-06-01,117.83
18,2024-07-01,120.77
18,2024-08-01,118.96
18,2024-09-01,116.76
18,2024-10-01,117.24
18,2024-11-01,117.99
18,2024-12-01,120.54
18,2025-01-01,120.81
18,2025-02-01,124.19
18,2025-03-01,121.83
18,2025-04-01,125.49
18,2025-05-01,121.84
18,2025-06-01,119.16
19,2023-04-01,100.07
19,2023-05-01,97.95
19,2023-06-01,95.12
19,2023-07-01,98.59
19,2023-08-01,103.0
19,2023-09-01,101.0
19,2023-10-01,104.19
19,2023-11-01,103.3
19,2023-12-01,107.96
19,2024-01-01,109.9
19,2024-02-01,113.57
19,2024-03-01,110.25
19,2024-04-01,113.92
19,2024-05-01,115.45
19,2024-06-01,119.54
19,2024-07-01,124.11
19,2024-08-01,121.23
19,2024-09-01,118.94
19,2024-10-01,122.6
19,2024-11-01,127.67
19,2024-12-01,132.17
19,2025-01-01,131.46
19,2025-02-01,132.55
19,2025-03-01,131.16
19,2025-04-01,132.93
19,2025-05-01,131.79
19,2025-06-01,133.57
20,2021-04-01,97.17
20,2021-05-01,94.6
20,2021-06-01,95.88
20,2021-07-01,93.79
20,2021-08-01,97.63
20,2021-09-01,97.94
20,2021-10-01,95.01
20,2021-11-01,93.86
20,2021-12-01,92.75
20,2022-01-01,92.83
20,2022-02-01,92.67
20,2022-03-01,92.02
20,2022-04-01,96.04
20,2022-05-01,98.42
20,2022-06-01,100.87
20,2022-07-01,103.61
20,2022-08-01,107.98
20,2022-09-01,108.99
20,2022-10-01,114.36
20,2022-11-01,112.98
20,2022-12-01,118.24
20,2023-01-01,117.36
20,2023-02-01,114.56
20,2023-03-01,114.18
20,2023-04-01,114.05
20,2023-05-01,119.07
20,2023-06-01,116.31
20,2023-07-01,113.22
20,2023-08-01,111.19
20,2023-09-01,111.67
20,2023-10-01,111.31
20,2023-11-01,109.59
20,2023-12-01,110.03
20,2024-01-01,114.59
20,2024-02-01,117.45
20,2024-03-01,119.8
20,2024-04-01,118.96
20,2024-05-01,123.72
20,2024-06-01,122.69
20,2024-07-01,123.91
20,2024-08-01,123.85
20,2024-09-01,122.76
20,2024-10-01,127.98
20,2024-11-01,132.32
20,2024-12-01,136.7
20,2025-01-01,142.02
20,2025-02-01,148.87
20,2025-03-01,153.67
20,2025-04-01,150.86
20,2025-05-01,148.12
20,2025-06-01,148.97
21,2023-01-01,103.37
21,2023-02-01,108.34
21,2023-03-01,112.15
21,2023-04-01,109.8
21,2023-05-01,110.26
21,2023-06-01,113.36
21,2023-07-01,111.27
21,2023-08-01,110.81
21,2023-09-01,108.62
21,2023-10-01,112.03
21,2023-11-01,111.83
21,2023-12-01,112.9
21,2024-01-01,113.86
21,2024-02-01,119.31
21,2024-03-01,121.47
21,2024-04-01,124.01
21,2024-05-01,121.66
21,2024-06-01,127.2
21,2024-07-01,132.76
21,2024-08-01,132.85
21,2024-09-01,134.7
21,2024-10-01,136.46
21,2024-11-01,137.74
21,2024-12-01,139.52
21,2025-01-01,137.9
21,2025-02-01,134.69
21,2025-03-01,138.35
21,2025-04-01,140.03
21,2025-05-01,144.53
21,2025-06-01,149.57
22,2021-03-01,98.75
22,2021-04-01,96.48
22,2021-05-01,96.38
22,2021-06-01,95.06
22,2021-07-01,98.68
22,2021-08-01,98.58
22,2021-09-01,99.36
22,2021-10-01,97.44
22,2021-11-01,95.38
22,2021-12-01,99.47
22,2022-01-01,99.36
22,2022-02-01,103.13
22,2022-03-01,106.46
22,2022-04-01,104.45
22,2022-05-01,105.16
22,2022-06-01,109.03
22,2022-07-01,110.57
22,2022-08-01,115.49
22,2022-09-01,115.92
22,2022-10-01,114.4
22,2022-11-01,113.02
22,2022-12-01,116.38
22,2023-01-01,113.98
22,2023-02-01,116.91
22,2023-03-01,114.74
22,2023-04-01,118.03
22,2023-05-01,121.06
22,2023-06-01,121.54
22,2023-07-01,118.42
22,2023-08-01,115.87
22,2023-09-01,117.79
22,2023-10-01,118.75
22,2023-11-01,120.83
22,2023-12-01,118.73
22,2024-01-01,116.56
22,2024-02-01,114.38
22,2024-03-01,113.19
22,2024-04-01,109.91
22,2024-05-01,113.92
22,2024-06-01,114.3
22,2024-07-01,117.87
22,2024-08-01,118.76
22,2024-09-01,116.53
22,2024-10-01,117.95
22,2024-11-01,123.36
22,2024-12-01,124.3
22,2025-01-01,127.76
22,2025-02-01,128.46
22,2025-03-01,131.23
22,2025-04-01,127.43
22,2025-05-01,124.74
22,2025-06-01,121.6
23,2022-03-01,102.14
23,2022-04-01,104.01
23,2022-05-01,102.33
23,2022-06-01,100.57
23,2022-07-01,100.74
23,2022-08-01,101.13
23,2022-09-01,105.77
23,2022-10-01,106.44
23,2022-11-01,109.3
23,2022-12-01,108.28
23,2023-01-01,109.99
23,2023-02-01,109.38
23,2023-03-01,108.09
23,2023-04-01,112.9
23,2023-05-01,111.97
23,2023-06-01,109.43
23,2023-07-01,109.45
23,2023-08-01,114.49
23,2023-09-01,117.86
23,2023-10-01,118.1
23,2023-11-01,115.09
23,2023-12-01,115.25
23,2024-01-01,119.38
23,2024-02-01,125.12
23,2024-03-01,127.42
23,2024-04-01,124.38
23,2024-05-01,127.54
23,2024-06-01,128.58
23,2024-07-01,131.44
23,2024-08-01,131.76
23,2024-09-01,131.82
23,2024-10-01,128.44
23,2024-11-01,128.4
23,2024-12-01,128.91
23,2025-01-01,127.83
23,2025-02-01,125.06
23,2025-03-01,124.94
23,2025-04-01,128.98
23,2025-05-01,128.57
23,2025-06-01,127.18
